cont_comuna,prevision,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28
Río Negro,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagrada Familia,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamanca,FONASA,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Salamanca,ISAPRE,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
San Antonio,DESCONOCIDO,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,DIPRECA,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio,FONASA,3.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,5.0,2.0,1.0,,1.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,
San Antonio,ISAPRE,,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
San Bernardo,CAPREDENA,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
San Bernardo,DESCONOCIDO,5.0,2.0,9.0,7.0,16.0,18.0,12.0,8.0,17.0,17.0,16.0,16.0,8.0,10.0,10.0,19.0,10.0,30.0,15.0,7.0,7.0,6.0,15.0,10.0,12.0,14.0,11.0,3.0,4.0,5.0,6.0,7.0,9.0,6.0,6.0,4.0,8.0,2.0,1.0,1.0,,1.0,1.0,3.0,2.0,5.0,2.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,,,,1.0
San Bernardo,FONASA,30.0,31.0,53.0,52.0,55.0,63.0,52.0,48.0,61.0,80.0,74.0,84.0,57.0,52.0,56.0,64.0,75.0,114.0,105.0,43.0,41.0,42.0,42.0,43.0,47.0,40.0,36.0,27.0,28.0,24.0,26.0,29.0,36.0,25.0,17.0,18.0,18.0,19.0,16.0,10.0,8.0,8.0,10.0,10.0,11.0,14.0,13.0,14.0,8.0,6.0,8.0,10.0,8.0,7.0,9.0,6.0,7.0,7.0
San Bernardo,ISAPRE,3.0,5.0,9.0,8.0,10.0,11.0,10.0,9.0,13.0,12.0,10.0,17.0,13.0,10.0,10.0,8.0,11.0,20.0,17.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,7.0,2.0,2.0,1.0,,3.0,,,,,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0
San Bernardo,NINGUNA,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
San Bernardo,SISA,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Clemente,FONASA,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Clemente,ISAPRE,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Esteban,FONASA,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Felipe,FONASA,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
San Fernando,FONASA,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,
San Fernando,ISAPRE,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Ignacio,FONASA,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquín,CAPREDENA,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquín,DESCONOCIDO,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,7.0,5.0,3.0,3.0,2.0,1.0,,,2.0,4.0,7.0,3.0,,,,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0
San Joaquín,FONASA,20.0,21.0,15.0,10.0,18.0,33.0,24.0,27.0,26.0,20.0,19.0,17.0,16.0,14.0,18.0,16.0,12.0,26.0,24.0,9.0,8.0,5.0,5.0,9.0,9.0,8.0,10.0,13.0,9.0,8.0,5.0,6.0,4.0,6.0,5.0,4.0,6.0,4.0,3.0,,2.0,,,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,6.0,6.0,3.0,2.0,5.0
San Joaquín,ISAPRE,2.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,8.0,6.0,5.0,5.0,5.0,3.0,8.0,4.0,1.0,,,1.0,,,,,,,2.0,2.0,,,,,,1.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0
San Joaquín,NINGUNA,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,2.0,,1.0
San José de Maipo,DESCONOCIDO,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,2.0
San José de Maipo,FONASA,,,3.0,5.0,9.0,12.0,9.0,8.0,4.0,5.0,5.0,7.0,1.0,,2.0,,1.0,5.0,3.0,,,,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,2.0,2.0,,,
San José de Maipo,ISAPRE,,,3.0,,,2.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Miguel,CAPREDENA,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Miguel,DESCONOCIDO,5.0,2.0,5.0,7.0,11.0,13.0,11.0,9.0,12.0,10.0,14.0,13.0,7.0,4.0,3.0,4.0,5.0,18.0,16.0,4.0,2.0,2.0,7.0,5.0,6.0,6.0,5.0,6.0,5.0,2.0,8.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0
San Miguel,DIPRECA,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Miguel,FONASA,13.0,18.0,37.0,30.0,24.0,40.0,41.0,34.0,26.0,30.0,32.0,33.0,34.0,27.0,22.0,15.0,19.0,47.0,36.0,15.0,13.0,15.0,14.0,16.0,19.0,10.0,9.0,11.0,5.0,9.0,8.0,9.0,5.0,5.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,6.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,8.0,4.0,3.0,6.0
San Miguel,ISAPRE,7.0,9.0,12.0,14.0,18.0,20.0,17.0,13.0,25.0,25.0,21.0,17.0,18.0,17.0,16.0,15.0,22.0,27.0,20.0,12.0,7.0,8.0,10.0,12.0,13.0,8.0,9.0,7.0,5.0,4.0,5.0,2.0,1.0,1.0,2.0,,1.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,,,2.0,1.0,,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,5.0
San Miguel,NINGUNA,,1.0,,,1.0,1.0,2.0,2.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0
San Pablo,FONASA,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
San Pedro,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro,FONASA,6.0,6.0,7.0,5.0,6.0,5.0,5.0,3.0,8.0,7.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,
San Pedro,NINGUNA,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro de Atacama,DESCONOCIDO,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pedro de la Paz,FONASA,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,
San Pedro de la Paz,ISAPRE,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
San Ramón,DESCONOCIDO,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,,,,,2.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,
San Ramón,FONASA,12.0,5.0,17.0,20.0,18.0,18.0,8.0,11.0,17.0,11.0,16.0,15.0,12.0,10.0,11.0,15.0,12.0,38.0,29.0,3.0,5.0,6.0,5.0,9.0,7.0,10.0,6.0,5.0,1.0,2.0,3.0,8.0,5.0,7.0,6.0,5.0,3.0,2.0,4.0,4.0,6.0,3.0,3.0,5.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,7.0,4.0,2.0,7.0,6.0,3.0,3.0
San Ramón,ISAPRE,2.0,1.0,3.0,1.0,,,,1.0,1.0,,2.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,
San Ramón,NINGUNA,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Vicente,FONASA,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago,CAPREDENA,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago,DESCONOCIDO,14.0,19.0,30.0,45.0,58.0,65.0,46.0,27.0,47.0,32.0,39.0,43.0,42.0,49.0,45.0,47.0,38.0,68.0,55.0,40.0,30.0,20.0,35.0,24.0,30.0,27.0,26.0,21.0,11.0,30.0,25.0,22.0,28.0,25.0,15.0,15.0,20.0,17.0,11.0,17.0,16.0,21.0,24.0,32.0,28.0,33.0,40.0,29.0,29.0,26.0,27.0,27.0,24.0,29.0,25.0,25.0,18.0,23.0
Santiago,DIPRECA,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
Santiago,FONASA,84.0,68.0,67.0,84.0,100.0,109.0,96.0,83.0,101.0,98.0,107.0,101.0,78.0,73.0,82.0,85.0,91.0,208.0,154.0,59.0,68.0,67.0,71.0,83.0,77.0,79.0,76.0,39.0,38.0,73.0,62.0,55.0,40.0,35.0,26.0,21.0,26.0,23.0,18.0,28.0,39.0,41.0,41.0,50.0,41.0,46.0,47.0,25.0,21.0,26.0,27.0,37.0,28.0,22.0,31.0,31.0,33.0,38.0
Santiago,ISAPRE,28.0,29.0,36.0,42.0,39.0,49.0,37.0,41.0,50.0,50.0,60.0,48.0,59.0,40.0,42.0,46.0,58.0,102.0,74.0,32.0,23.0,20.0,25.0,22.0,22.0,20.0,23.0,16.0,13.0,25.0,19.0,15.0,15.0,8.0,7.0,6.0,15.0,16.0,14.0,11.0,9.0,7.0,5.0,7.0,8.0,11.0,12.0,13.0,11.0,11.0,11.0,16.0,11.0,13.0,12.0,13.0,12.0,16.0
Santiago,NINGUNA,6.0,7.0,4.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,6.0,7.0,5.0,2.0,2.0,3.0,12.0,9.0,5.0,5.0,5.0,7.0,5.0,5.0,6.0,5.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,,,2.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,4.0,2.0,2.0,4.0
Sin Datos,CAPREDENA,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sin Datos,DESCONOCIDO,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,,,1.0,2.0,3.0,3.0,3.0,2.0,,,1.0,,,,
Sin Datos,FONASA,7.0,6.0,7.0,7.0,7.0,14.0,12.0,9.0,9.0,10.0,11.0,12.0,14.0,8.0,7.0,7.0,5.0,14.0,12.0,5.0,7.0,7.0,6.0,7.0,10.0,5.0,4.0,5.0,6.0,3.0,2.0,1.0,,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0
Sin Datos,ISAPRE,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,2.0,7.0,5.0,5.0,2.0,3.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,1.0,,,,,,1.0,2.0,2.0,2.0,,1.0,1.0,,,,,,1.0,2.0,2.0,1.0,1.0,1.0
Talagante,CAPREDENA,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talagante,DESCONOCIDO,,,3.0,1.0,,,,1.0,,1.0,,,,,,1.0,,3.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Talagante,DIPRECA,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talagante,FONASA,13.0,15.0,24.0,23.0,27.0,33.0,31.0,31.0,28.0,27.0,24.0,22.0,15.0,17.0,20.0,12.0,13.0,36.0,31.0,11.0,13.0,12.0,9.0,9.0,15.0,9.0,9.0,3.0,3.0,5.0,6.0,8.0,7.0,12.0,4.0,3.0,6.0,3.0,2.0,5.0,4.0,1.0,2.0,1.0,,6.0,2.0,2.0,,,3.0,5.0,3.0,4.0,4.0,6.0,3.0,5.0
Talagante,ISAPRE,4.0,2.0,1.0,,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,6.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,,,2.0,,1.0,1.0,3.0,1.0,1.0,
Talagante,NINGUNA,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talca,FONASA,,1.0,,2.0,,,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,
Talca,ISAPRE,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,
Talcahuano,DESCONOCIDO,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talcahuano,FONASA,,1.0,,,1.0,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Talcahuano,ISAPRE,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Talcahuano,SISA,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taltal,ISAPRE,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temuco,FONASA,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,
Temuco,ISAPRE,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,
Teno,FONASA,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tierra Amarilla,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiltil,CAPREDENA,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiltil,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Tiltil,FONASA,4.0,7.0,5.0,2.0,3.0,3.0,4.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,7.0,12.0,8.0,5.0,4.0,2.0,3.0,1.0,3.0,6.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,3.0,,,,1.0,,,3.0,,,2.0,,,2.0,,1.0,1.0,,,,1.0,,2.0,2.0
Tiltil,ISAPRE,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,
Tocopilla,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tocopilla,FONASA,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
Tocopilla,ISAPRE,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome,DESCONOCIDO,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tome,FONASA,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Tucapel,DESCONOCIDO,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucapel,FONASA,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdivia,DESCONOCIDO,,,,,,1.0,,,,,,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0
Valdivia,FONASA,,,,,,1.0,,,1.0,,1.0,1.0,,2.0,1.0,1.0,,2.0,,1.0,,,,1.0,2.0,1.0,3.0,1.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,
Valdivia,ISAPRE,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,2.0,,,,,
Vallenar,DESCONOCIDO,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallenar,FONASA,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallenar,ISAPRE,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,DESCONOCIDO,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
Valparaiso,FONASA,,1.0,,,,2.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,,,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,,1.0,,2.0,3.0,,1.0,,,1.0,,,,1.0,1.0,,,
Valparaiso,ISAPRE,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,
Vichuquén,FONASA,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vichuquén,ISAPRE,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,FONASA,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Vicuña,FONASA,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Villa Alegre,FONASA,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa Alemana,FONASA,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Villa Alemana,ISAPRE,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villarrica,DESCONOCIDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villarrica,FONASA,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
Vitacura,DESCONOCIDO,3.0,4.0,2.0,1.0,7.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,6.0,9.0,8.0,6.0,1.0,,,1.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,7.0
Vitacura,FONASA,2.0,,1.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,,,,,3.0,2.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0
Vitacura,ISAPRE,8.0,18.0,20.0,16.0,19.0,20.0,21.0,22.0,20.0,28.0,25.0,31.0,31.0,17.0,17.0,15.0,17.0,35.0,21.0,13.0,10.0,10.0,11.0,6.0,7.0,6.0,2.0,1.0,3.0,4.0,7.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,6.0,3.0,3.0,12.0,2.0,1.0,5.0,7.0,6.0,5.0,8.0,4.0,7.0,10.0,22.0,11.0,6.0,30.0
Vitacura,NINGUNA,,,,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
Viña del Mar,DESCONOCIDO,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,3.0,3.0,1.0,1.0
